hero_id,hero_name,dominant_position,max_pos_prob,total_role_games,pos1_prob,pos2_prob,pos3_prob,pos4_prob,pos5_prob,core_prob,support_prob,flex_score,role_source,warning
68,Ancient Apparition,pos5,0.8132183908045977,343,0.0028735632183908,0.0086206896551724,0.0028735632183908,0.1724137931034483,0.8132183908045977,0.014367816091954,0.985632183908046,0.1867816091954023,data_inferred,ok
78,Brewmaster,pos3,0.9852216748768472,401,0.0024630541871921,0.0049261083743842,0.9852216748768472,0.0024630541871921,0.0049261083743842,0.9926108374384236,0.0073891625615763,0.0147783251231526,data_inferred,very rigid
99,Bristleback,pos3,0.7510775862068966,923,0.2015086206896551,0.0377155172413793,0.7510775862068966,0.0021551724137931,0.0075431034482758,0.990301724137931,0.0096982758620689,0.2489224137931034,data_inferred,ok
51,Clockwerk,pos5,0.559593023255814,683,0.001453488372093,0.001453488372093,0.001453488372093,0.436046511627907,0.559593023255814,0.004360465116279,0.9956395348837208,0.440406976744186,data_inferred,ok
55,Dark Seer,pos3,0.9864077669902912,510,0.0019417475728155,0.0077669902912621,0.9864077669902912,0.0019417475728155,0.0019417475728155,0.996116504854369,0.003883495145631,0.0135922330097086,data_inferred,very rigid
135,Dawnbreaker,pos3,0.9,565,0.0456140350877193,0.0070175438596491,0.9,0.0140350877192982,0.0333333333333333,0.9526315789473684,0.0473684210526315,0.0999999999999999,data_inferred,ok
106,Ember Spirit,pos2,0.9730941704035876,1110,0.0062780269058295,0.9730941704035876,0.010762331838565,0.0089686098654708,0.000896860986547,0.990134529147982,0.0098654708520179,0.0269058295964125,data_inferred,very rigid
33,Enigma,pos3,0.9056603773584906,366,0.0026954177897574,0.0296495956873315,0.9056603773584906,0.0350404312668463,0.0269541778975741,0.9380053908355797,0.0619946091644204,0.0943396226415094,data_inferred,ok
121,Grimstroke,pos4,0.5862068965517241,227,0.0043103448275862,0.0129310344827586,0.0043103448275862,0.5862068965517241,0.3922413793103448,0.021551724137931,0.978448275862069,0.4137931034482759,data_inferred,ok
123,Hoodwink,pos4,0.8588129496402878,1107,0.0053956834532374,0.0008992805755395,0.0008992805755395,0.8588129496402878,0.1339928057553956,0.0071942446043165,0.9928057553956836,0.1411870503597122,data_inferred,ok
80,Lone Druid,pos1,0.8636363636363636,61,0.8636363636363636,0.0454545454545454,0.0454545454545454,0.0303030303030303,0.0151515151515151,0.9545454545454544,0.0454545454545454,0.1363636363636363,data_inferred,ok
136,Marci,pos4,0.4781879194630872,591,0.2281879194630872,0.0016778523489932,0.1275167785234899,0.4781879194630872,0.1644295302013423,0.3573825503355705,0.6426174496644296,0.5218120805369127,data_inferred,ok
138,Muerta,pos4,0.6595492289442467,838,0.2586002372479241,0.0071174377224199,0.0011862396204033,0.6595492289442467,0.0735468564650059,0.2669039145907473,0.7330960854092526,0.3404507710557533,data_inferred,ok
60,Night Stalker,pos3,0.6877828054298643,216,0.0316742081447963,0.0180995475113122,0.6877828054298643,0.2262443438914027,0.0361990950226244,0.7375565610859729,0.2624434389140271,0.3122171945701357,data_inferred,ok
45,Pugna,pos5,0.7465007776049767,638,0.0046656298600311,0.0015552099533437,0.0015552099533437,0.2457231726283048,0.7465007776049767,0.0077760497667185,0.9922239502332816,0.2534992223950233,data_inferred,ok
86,Rubick,pos4,0.7383367139959433,488,0.0020283975659229,0.0689655172413793,0.0020283975659229,0.7383367139959433,0.1886409736308316,0.0730223123732251,0.9269776876267748,0.2616632860040567,data_inferred,ok
16,Sand King,pos2,0.6162310866574966,722,0.0013755158184319,0.6162310866574966,0.3796423658872077,0.0013755158184319,0.0013755158184319,0.997248968363136,0.0027510316368638,0.3837689133425034,data_inferred,ok
109,Terrorblade,pos1,0.8112244897959183,779,0.8112244897959183,0.0012755102040816,0.1543367346938775,0.0280612244897959,0.0051020408163265,0.9668367346938777,0.0331632653061224,0.1887755102040816,data_inferred,ok
19,Tiny,pos2,0.4487658937920718,1332,0.2154076290201944,0.4487658937920718,0.0209424083769633,0.2924457741211668,0.0224382946896035,0.6851159311892296,0.3148840688107703,0.5512341062079282,data_inferred,ok
100,Tusk,pos4,0.6076487252124646,1407,0.0007082152974504,0.0014164305949008,0.0007082152974504,0.6076487252124646,0.3895184135977337,0.0028328611898017,0.9971671388101984,0.3923512747875354,data_inferred,ok
108,Underlord,pos3,0.9519230769230768,515,0.0403846153846153,0.0038461538461538,0.9519230769230768,0.0019230769230769,0.0019230769230769,0.996153846153846,0.0038461538461538,0.0480769230769231,data_inferred,very rigid
21,Windranger,pos4,0.4472843450479233,621,0.4313099041533546,0.0638977635782747,0.0063897763578274,0.4472843450479233,0.0511182108626198,0.5015974440894568,0.4984025559105431,0.5527156549520766,data_inferred,ok
22,Zeus,pos4,0.3453237410071942,134,0.0503597122302158,0.2805755395683453,0.0071942446043165,0.3453237410071942,0.316546762589928,0.3381294964028777,0.6618705035971223,0.6546762589928057,data_inferred,ok
